t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,24.69,0.848,20.938,666,645.3575042,508.5867139,0.79,147.1,25.4,29.8,37.8,9.09,2.6,71,9.1,17.35,3.0,15.96,4.31,20.93,0.04,123,21,113,31,NONE,,30.2,54,49.5,733,756,4430,184.6,3.08,0,62.4,0,3204,1226,0,72.3,27.7,0.79,"W001° 15' 5.5458""","N51° 45' 55.3776""",59,62,0.2,0,1.05,1.38,2.43,0.43,0.27,1.321,0,0,0,,91,00:00:00,87.5,2.73,1430,989,0,89,0,11,False,31,0.81,33
3.0,18.07,1.11,20.06,1156,595.2695103,492.5052557,0.83,193.7,33.6,31.6,38.2,8.38,2.4,72,8.3,17.45,3.03,16.21,4.3,20.93,0.04,124,21,115,30,NONE,,30.1,55,49.5,733,756,4123,171.8,2.86,0,58.1,0,2429,1694,0,58.9,41.1,0.83,"W001° 15' 5.5518""","N51° 45' 55.3782""",59,61,0.2,0,1.32,2.0,3.32,0.4,0.29,1.302,3,0,0,,91,00:00:03,88.0,2.52,1430,989,0,89,0,11,False,32,0.84,33
6.0,21.43,0.69,14.786,762,366.5472011,299.8389167,0.82,124.4,17.3,36.2,44.3,5.16,1.5,74,5.0,18.03,2.51,16.64,3.84,20.93,0.04,128,18,118,27,NONE,,30.1,56,49.5,733,757,2533,105.6,1.76,0,35.7,0,1574,960,0,62.1,37.9,0.82,"W001° 15' 5.553""","N51° 45' 55.383""",59,62,0.0,0,1.24,1.56,2.8,0.44,0.31,1.17,3,0,0,,91,00:00:06,91.2,,1430,989,0,89,0,11,False,32,0.56,30
9.0,22.06,0.701,15.463,558,435.16041,350.2758521,0.8,123.7,19.6,32.0,39.7,6.13,1.8,71,6.1,17.65,2.8,16.36,4.13,20.93,0.04,125,20,116,29,NONE,,30.1,56,49.5,733,756,2999,124.9,2.08,0,42.2,0,1996,1002,0,66.6,33.4,0.8,"W001° 15' 5.5506""","N51° 45' 55.3848""",59,61,0.1,0,1.17,1.55,2.72,0.43,0.28,1.189,3,0,0,,91,00:00:09,90.8,3.68,1430,989,0,89,0,10,False,32,0.6,32
11.0,26.91,0.526,14.152,697,317.4720214,247.4478074,0.78,96.4,11.4,38.6,49.6,4.47,1.3,69,4.6,18.33,2.17,16.76,3.59,20.93,0.04,130,15,119,25,NONE,,30.1,58,49.5,732,756,2175,90.6,1.51,0,30.6,0,1637,538,0,75.3,24.7,0.78,"W001° 15' 5.5476""","N51° 45' 55.386""",59,61,0.1,0,1.21,1.02,2.23,0.54,0.33,1.151,2,0,0,,91,00:00:11,91.6,2.68,1430,989,0,89,0,10,False,32,0.43,28
33.0,10.06,2.837,28.532,2932,948.3433683,875.9689825,0.92,480.9,107.1,29.3,31.8,13.36,3.8,87,10.9,16.95,3.78,15.83,4.8,20.93,0.04,120,27,112,34,NONE,,29.9,58,49.6,733,756,6713,279.7,4.66,1,94.6,0,1749,4965,0,26.0,74.0,0.92,"W001° 15' 5.5188""","N51° 45' 55.4112""",59,62,0.4,0,2.14,3.83,5.97,0.36,0.23,1.455,22,0,0,,91,00:00:33,83.0,2,1430,989,0,90,0,10,False,32,1.33,36
41.0,7.4,1.703,12.599,527,457.2837624,391.7290452,0.86,283.5,65.1,26.4,30.8,6.44,1.8,69,6.6,16.65,3.82,15.16,5.01,20.93,0.04,118,27,107,36,NONE,,29.9,58,49.6,733,756,3189,132.9,2.21,2,44.9,0,1560,1629,0,48.9,51.1,0.86,"W001° 15' 5.529""","N51° 45' 55.4136""",60,62,0.2,0,0.33,7.78,8.11,0.04,0.24,1.1,8,0,0,,91,00:00:41,92.5,1.93,1430,989,0,90,0,11,False,32,5.16,37
45.0,16.81,0.433,7.277,591,182.9396789,135.7396006,0.74,78.1,10.0,33.3,44.9,2.58,0.7,72,2.5,18.04,2.31,15.8,4.2,20.93,0.04,128,16,112,30,NONE,,30.0,58,49.6,733,756,1242,51.8,0.86,2,17.5,0,1094,148,0,88.1,11.9,0.74,"W001° 15' 5.5254""","N51° 45' 55.4034""",61,62,0.4,0,0.96,2.61,3.57,0.27,0.33,0.862,4,0,0,,91,00:00:45,95.7,0.39,1430,989,0,90,0,10,False,32,0.45,32
53.0,7.53,1.193,8.981,1310,349.4374013,267.438781,0.77,196.0,43.7,24.2,31.6,4.92,1.4,74,4.7,16.43,3.66,14.55,5.18,20.93,0.04,116,26,103,37,NONE,,30.0,58,49.6,732,756,2386,99.4,1.66,2,33.6,0,1911,475,0,80.1,19.9,0.77,"W001° 15' 5.5182""","N51° 45' 55.3818""",61,62,0.6,0,2.43,5.54,7.97,0.3,0.27,0.953,8,0,0,,91,00:00:53,94.6,0.49,1430,989,0,90,0,11,False,32,0.49,39
57.0,15.04,0.737,11.083,435,409.8049668,291.7343417,0.71,123.1,23.9,24.5,34.4,5.77,1.6,73,5.6,16.7,3.24,14.92,4.7,20.93,0.04,118,23,106,33,NONE,,30.1,56,49.6,733,756,2764,115.1,1.92,2,38.9,0,2717,46,0,98.3,1.7,0.71,"W001° 15' 5.5176""","N51° 45' 55.3836""",60,62,0.5,0,0.66,3.33,3.99,0.17,0.26,1.045,4,0,0,,91,00:00:57,93.4,0.69,1430,989,0,89,0,11,False,32,1.12,35
59.0,25.75,0.574,14.781,869,469.1903017,314.705643,0.67,99.5,15.1,27.7,41.2,6.61,1.9,73,6.4,17.33,2.63,15.7,4.05,20.93,0.04,123,19,111,29,NONE,,30.1,56,49.6,733,756,3133,130.6,2.18,2,44.1,0,3133,0,0,100.0,0.0,0.67,"W001° 15' 5.5062""","N51° 45' 55.3824""",60,62,0.4,0,0.97,1.36,2.33,0.42,0.28,1.17,2,0,0,,91,00:00:59,91.2,0.99,1430,989,0,90,0,11,False,32,0.59,31
62.0,17.34,1.038,18.0,1106,693.59146,495.7550666,0.71,171.5,35.2,24.2,33.9,9.77,2.8,73,9.5,16.52,3.39,14.81,4.82,20.93,0.04,117,24,105,34,NONE,,30.0,56,49.6,732,756,4680,195.0,3.25,3,65.9,0,4556,124,0,97.3,2.7,0.71,"W001° 15' 5.4972""","N51° 45' 55.3836""",60,62,0.1,0,1.49,1.97,3.46,0.43,0.27,1.255,3,0,0,,91,00:01:02,89.3,5.86,1430,989,0,90,0,10,False,32,0.7,36
66.0,15.46,1.197,18.51,1008,710.3927817,518.8155299,0.73,197.8,41.3,24.5,33.6,10.01,2.9,71,10.0,16.52,3.45,14.72,4.87,20.93,0.04,117,24,104,35,NONE,,30.0,56,49.6,732,756,4811,200.5,3.34,3,67.8,0,4428,383,0,92.0,8.0,0.73,"W001° 15' 5.4996""","N51° 45' 55.3848""",61,62,0.4,0,1.21,2.67,3.88,0.31,0.27,1.267,4,0,0,,91,00:01:06,89.0,1.5,1430,989,0,90,0,10,False,32,0.99,37
69.0,20.55,1.031,21.185,966,746.0834124,553.7190926,0.74,174.0,33.2,26.5,35.7,10.51,3.0,69,10.8,16.88,3.22,15.5,4.45,20.93,0.04,120,23,110,32,NONE,,30.0,56,49.6,733,756,5067,211.1,3.52,3,71.4,0,4459,608,0,88.0,12.0,0.74,"W001° 15' 5.4948""","N51° 45' 55.3884""",60,62,0.3,0,1.2,1.72,2.92,0.41,0.26,1.326,3,0,0,,91,00:01:09,87.4,2.1,1430,989,0,90,0,10,False,32,0.86,34
72.0,21.82,0.772,16.844,914,490.6821741,363.8627209,0.74,135.7,20.6,31.2,42.1,6.91,2.0,69,7.1,17.58,2.67,16.08,4.04,20.93,0.04,125,19,114,29,NONE,,30.0,56,49.6,732,756,3332,138.8,2.31,3,46.9,0,2939,393,0,88.2,11.8,0.74,"W001° 15' 5.496""","N51° 45' 55.389""",60,62,0.1,0,1.16,1.59,2.75,0.42,0.3,1.226,3,0,0,,91,00:01:12,90.0,4.15,1430,989,0,90,0,10,False,32,0.67,31
74.0,25.75,0.767,19.751,650,614.9808794,461.2434939,0.75,133.0,22.1,29.2,38.9,8.66,2.5,69,8.9,17.34,2.88,15.95,4.18,20.93,0.04,123,20,113,30,NONE,,30.0,56,49.6,733,756,4184,174.3,2.91,3,58.9,0,3570,614,0,85.3,14.7,0.75,"W001° 15' 5.493""","N51° 45' 55.3872""",60,62,0.1,0,1.0,1.33,2.33,0.43,0.27,1.296,2,0,0,,91,00:01:14,88.2,5.2,1430,989,0,90,0,10,False,32,0.77,32
78.0,17.91,0.901,16.137,815,478.7710165,377.4356067,0.79,157.5,26.0,31.1,39.4,6.74,1.9,68,7.0,17.48,2.89,15.96,4.29,20.93,0.04,124,20,113,30,NONE,,30.1,56,49.6,733,756,3287,136.9,2.28,3,46.3,0,2374,912,0,72.2,27.8,0.79,"W001° 15' 5.4864""","N51° 45' 55.3806""",60,62,0.0,0,1.12,2.23,3.35,0.33,0.3,1.208,4,0,0,,91,00:01:18,90.4,,1430,989,0,89,0,10,False,32,0.8,33
80.0,23.72,0.552,13.091,622,328.8454689,251.0369177,0.76,99.5,13.1,34.8,45.5,4.63,1.3,69,4.8,18.03,2.37,16.6,3.74,20.93,0.04,128,17,118,27,NONE,,30.1,56,49.6,732,756,2244,93.5,1.56,3,31.6,0,1812,432,0,80.8,19.2,0.76,"W001° 15' 5.4822""","N51° 45' 55.3758""",60,63,0.0,0,1.26,1.27,2.53,0.5,0.3,1.117,2,0,0,,91,00:01:20,92.2,,1430,989,0,90,0,10,False,32,0.44,29
83.0,25.97,0.501,13.013,557,335.5607238,258.303414,0.77,89.9,12.3,33.4,43.3,4.73,1.4,69,4.9,17.94,2.46,16.69,3.63,20.93,0.04,127,17,118,26,NONE,,30.2,55,49.6,733,756,2294,95.6,1.59,3,32.3,0,1802,491,0,78.6,21.4,0.77,"W001° 15' 5.478""","N51° 45' 55.3716""",60,62,0.0,0,0.96,1.35,2.31,0.42,0.25,1.114,3,0,0,,91,00:01:23,92.2,,1430,989,0,89,0,10,False,32,0.52,29
89.0,9.43,1.347,12.708,1566,355.082927,308.3181469,0.87,237.4,40.3,33.9,39.1,5.0,1.4,71,5.0,17.62,2.99,16.32,4.17,20.93,0.04,125,21,116,30,NONE,,30.2,55,49.6,732,756,2483,103.4,1.72,4,35.0,0,1116,1367,0,44.9,55.1,0.87,"W001° 15' 5.4618""","N51° 45' 55.3638""",61,62,0.0,0,2.6,3.76,6.36,0.41,0.29,1.104,6,0,0,,91,00:01:29,92.4,,1430,989,0,89,0,10,False,32,0.52,32
91.0,33.9,0.522,17.695,495,406.1120055,336.886425,0.83,95.2,12.3,37.7,45.5,5.72,1.6,71,5.7,18.24,2.36,16.74,3.62,20.93,0.04,129,17,119,26,NONE,,30.2,55,49.6,732,756,2814,117.3,1.95,4,39.6,0,1637,1177,0,58.2,41.8,0.83,"W001° 15' 5.4594""","N51° 45' 55.3638""",61,62,0.1,0,0.28,1.49,1.77,0.16,0.28,1.248,2,0,0,,91,00:01:31,89.5,3.43,1430,989,0,89,0,10,False,32,1.86,29
92.0,31.75,0.603,19.143,436,441.7930744,364.2271832,0.82,109.9,14.2,38.3,46.5,6.22,1.8,73,6.1,18.23,2.35,16.43,4.08,20.93,0.04,129,17,116,29,NONE,,30.3,55,49.6,733,756,3058,127.4,2.12,4,43.1,0,1832,1226,0,59.9,40.1,0.82,"W001° 15' 5.4552""","N51° 45' 55.365""",61,62,0.0,0,0.3,1.59,1.89,0.16,0.35,1.282,1,0,0,,91,00:01:32,88.6,,1430,989,0,89,0,10,False,32,2.01,32
94.0,33.15,0.53,17.569,570,327.9946895,274.8628135,0.84,99.3,10.3,46.5,55.5,4.62,1.3,75,4.4,18.74,1.94,17.1,3.42,20.93,0.04,133,14,121,24,NONE,,30.3,55,49.6,732,756,2277,94.9,1.58,4,32.1,0,1259,1018,0,55.3,44.7,0.84,"W001° 15' 5.4528""","N51° 45' 55.3692""",61,62,0.0,0,0.3,1.51,1.81,0.17,0.36,1.245,2,0,0,,91,00:01:34,89.5,,1421,989,0,89,0,10,False,32,1.77,27
96.0,34.88,0.53,18.488,448,353.0001257,300.7163888,0.85,99.0,10.7,45.5,53.4,4.97,1.4,78,4.5,18.68,2.02,16.8,3.63,20.93,0.04,132,14,119,26,NONE,,30.3,55,49.6,733,756,2459,102.4,1.71,4,34.6,0,1243,1216,0,50.6,49.4,0.85,"W001° 15' 5.451""","N51° 45' 55.3692""",61,62,0.0,0,0.27,1.45,1.72,0.16,0.37,1.267,2,0,0,,91,00:01:36,89.0,,1420,989,0,89,0,10,False,32,1.96,29
98.0,37.27,0.578,21.54,417,505.8441362,412.5597148,0.82,105.1,13.7,37.4,45.9,7.12,2.0,80,6.3,18.18,2.37,16.51,3.88,20.93,0.04,129,17,117,28,NONE,,30.3,55,49.6,732,756,3494,145.6,2.43,4,49.2,0,2199,1295,0,62.9,37.1,0.82,"W001° 15' 5.4516""","N51° 45' 55.3686""",61,62,0.1,0,0.24,1.37,1.61,0.15,0.32,1.333,2,0,0,,91,00:01:38,87.2,4.27,1415,989,0,89,0,10,False,32,2.41,30
101.0,21.35,0.998,21.31,464,661.3424761,544.0667751,0.82,172.6,31.4,30.0,36.4,9.31,2.7,81,8.2,17.29,3.15,15.65,4.61,20.93,0.04,123,22,111,33,NONE,,30.3,55,49.6,732,756,4576,190.7,3.18,4,64.4,0,2769,1806,0,60.5,39.5,0.82,"W001° 15' 5.4546""","N51° 45' 55.3704""",61,62,0.1,0,0.28,2.53,2.81,0.1,0.29,1.329,3,0,0,,91,00:01:41,87.3,5.59,1426,989,0,89,0,10,False,32,3.56,35
102.0,39.74,0.099,3.934,545,14.262613,11.7704786,0.83,20.3,0.4,80.8,97.9,0.2,0.1,81,0.2,20.51,0.4,20.36,0.51,20.93,0.04,145,3,144,4,NONE,,30.4,56,49.6,732,756,99,4.1,0.07,4,1.4,0,59,40,0,59.6,40.4,0.83,"W001° 15' 5.4558""","N51° 45' 55.3728""",61,62,0.5,0,0.97,0.54,1.51,0.64,0.0,0.595,1,0,0,,91,00:01:42,97.7,0.02,1426,989,278,88,0,10,False,32,0.1,9
