t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,15.15,1.1,16.667,670,666.5353185,606.2338794,0.91,178.5,48.4,23.4,25.7,13.33,3.8,81,8.2,16.23,4.4,15.05,5.6,20.93,0.04,117,32,108,40,NONE,,18.3,55,40.2,743,767,4704,196.0,3.27,0,94.1,0,1452,3251,0,30.9,69.1,0.91,"W001° 15' 5.829""","N51° 45' 55.6482""",59,92,0.2,0,0.69,3.27,3.96,0.17,0.18,1.222,0,0,0,,41,00:00:00,86.9,4,1428,998,0,79,0,10,False,26,1.59,42
5.0,11.03,0.889,9.805,843,345.883162,353.7623015,1.02,148.3,38.8,26.1,25.5,6.92,2.0,80,4.3,16.68,4.36,15.01,5.59,20.93,0.04,120,31,108,40,NONE,,18.3,55,40.2,743,767,2503,104.3,1.74,0,50.1,0,0,2503,0,0.0,100.0,1.02,"W001° 15' 5.841""","N51° 45' 55.6656""",58,91,0.2,0,1.34,4.1,5.44,0.25,0.17,0.991,5,0,0,,41,00:00:05,92.3,2.08,1428,998,0,78,0,10,False,32,0.66,42
11.0,11.03,0.862,9.507,776,383.8886285,335.435472,0.87,139.8,36.8,22.8,26,7.68,2.2,74,5.2,16.22,4.27,14.59,5.76,20.93,0.04,117,31,105,41,NONE,,18.3,55,40.1,743,767,2687,112.0,1.87,0,53.7,0,1158,1530,0,43.1,56.9,0.87,"W001° 15' 5.8662""","N51° 45' 55.683""",57,91,0.3,0,1.69,3.75,5.44,0.31,0.2,0.978,6,0,0,,41,00:00:11,92.5,1.54,1428,998,0,78,0,10,False,32,0.51,43
14.0,16.95,0.896,15.186,804,598.5489716,511.0317199,0.85,146.5,36.5,23.4,27.4,11.97,3.4,73,8.2,16.35,4.07,15.07,5.44,20.93,0.04,118,29,109,39,NONE,,18.3,55,40.1,743,767,4171,173.8,2.9,0,83.4,0,2081,2090,0,49.9,50.1,0.85,"W001° 15' 5.8824""","N51° 45' 55.6914""",57,91,0.3,0,1.68,1.86,3.54,0.47,0.2,1.181,3,0,0,,41,00:00:14,88.1,2.39,1428,998,0,78,0,10,False,25,0.53,41
17.0,23.17,0.348,8.062,795,235.4109733,194.4328467,0.83,61.1,10.2,27.4,33.1,4.71,1.3,73,3.2,17.56,2.93,16.13,4.37,20.93,0.04,126,21,116,31,NONE,,18.3,55,40.1,743,767,1630,67.9,1.13,0,32.6,0,968,662,0,59.4,40.6,0.83,"W001° 15' 5.8872""","N51° 45' 55.6968""",57,91,0.1,0,1.47,1.12,2.59,0.57,0.17,0.906,3,0,0,,41,00:00:17,93.7,2.82,1428,998,0,78,0,9,False,25,0.24,34
21.0,16.13,0.858,13.839,405,509.4524381,452.8784711,0.89,142.6,34.0,24.9,28.1,10.19,2.9,71,7.2,16.62,3.96,15.02,5.53,20.93,0.04,120,29,108,40,NONE,,18.3,55,40.1,743,767,3578,149.1,2.49,1,71.6,0,1356,2222,0,37.9,62.1,0.89,"W001° 15' 5.8818""","N51° 45' 55.695""",57,92,0.2,0,1.09,2.63,3.72,0.29,0.23,1.141,4,0,0,,41,00:00:21,89.1,3.06,1428,998,0,78,0,10,False,26,0.79,41
24.0,16.39,0.34,5.574,646,149.8830144,123.9584039,0.83,60.6,9.2,29.5,35.7,3.0,0.9,72,2.1,17.82,2.71,16.25,4.25,20.93,0.04,128,19,117,31,NONE,,18.3,55,40.1,743,767,1038,43.3,0.72,1,20.8,0,613,425,0,59.0,41.0,0.83,"W001° 15' 5.8752""","N51° 45' 55.6884""",57,91,0.2,0,1.58,2.08,3.66,0.43,0.2,0.746,3,0,0,,41,00:00:24,95.6,0.9,1428,998,0,78,0,10,False,30,0.22,33
27.0,20.69,0.658,13.614,390,486.4742883,423.5138277,0.87,110.3,24.8,25.0,28.7,9.73,2.8,73,6.7,16.76,3.77,15.35,5.21,20.93,0.04,121,27,111,38,NONE,,18.3,55,40.1,743,767,3403,141.8,2.36,1,68.1,0,1503,1900,0,44.2,55.8,0.87,"W001° 15' 5.8746""","N51° 45' 55.6902""",56,91,0.1,0,0.95,1.95,2.9,0.33,0.2,1.134,3,0,0,,41,00:00:27,89.3,5.84,1428,998,0,78,0,12,False,30,0.69,39
30.0,20.13,1.704,34.309,416,1630.7928753,1411.2521391,0.87,262.3,84.7,20.2,23.3,32.62,9.3,75,21.7,15.39,4.97,14.78,5.61,20.93,0.04,111,36,106,40,NONE,,18.3,55,40.1,743,767,11394,474.7,7.91,1,227.9,0,5235,6159,0,45.9,54.1,0.87,"W001° 15' 5.8818""","N51° 45' 55.6866""",56,91,0.1,0,0.83,2.15,2.98,0.28,0.1,1.535,3,0,0,,41,00:00:30,73.1,>.57,1428,998,0,78,0,12,False,29,2.05,42
