t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,12.42,1.097,13.627,909,612.8546901,441.2481892,0.72,173.7,43.2,20.8,28.9,8.17,2.3,91,6.7,15.83,3.94,13.98,5.43,20.93,0.04,114,28,100,39,NONE,,17.1,52,35.2,741,764,4141,172.5,2.88,0,55.2,0,3957,184,0,95.6,4.4,0.72,"W001° 15' 5.5878""","N51° 45' 55.641""",63,51,0.2,0,1.36,3.47,4.83,0.28,0.24,1.134,0,0,0,,88,00:00:00,90.9,2.45,1435,993,0,58,0,9,False,32,0.81,41
4.0,16.04,0.574,9.209,855,348.9038892,238.1385011,0.68,95.7,18.1,23.2,34.0,4.65,1.3,98,3.6,16.67,3.15,13.81,5.36,20.93,0.04,120,23,99,38,NONE,,17.1,52,35.2,740,764,2337,97.4,1.62,0,31.2,0,2337,0,0,100.0,0.0,0.68,"W001° 15' 5.598""","N51° 45' 55.6362""",62,52,0.1,0,0.87,2.87,3.74,0.23,0.31,0.964,4,0,0,,88,00:00:04,93.9,2.79,1435,993,0,58,0,8,False,32,0.66,40
12.0,7.94,2.087,16.563,1574,780.4207702,561.4620051,0.72,325.4,86.0,20.5,28.5,10.41,3.0,92,8.5,15.59,4.12,13.2,5.92,20.93,0.04,112,30,95,42,NONE,,17.0,52,35.1,741,764,5272,219.7,3.66,0,70.3,0,5048,224,0,95.8,4.2,0.72,"W001° 15' 5.586""","N51° 45' 55.6326""",63,52,0.1,0,1.01,6.55,7.56,0.13,0.29,1.219,8,0,0,,88,00:00:12,88.9,6.24,1435,993,0,59,0,9,False,32,2.07,44
16.0,13.7,1.308,17.918,1104,798.9841009,562.9922531,0.7,207.9,50.0,21.2,30.1,10.65,3.0,97,8.2,15.89,3.82,13.55,5.72,20.93,0.04,114,27,97,41,NONE,,17.0,52,35.2,741,764,5379,224.1,3.74,1,71.7,0,5379,0,0,100.0,0.0,0.7,"W001° 15' 5.5776""","N51° 45' 55.6356""",63,52,0.0,0,0.54,3.84,4.38,0.12,0.3,1.253,4,0,0,,88,00:00:16,88.0,,1435,993,0,59,0,8,False,32,2.42,42
18.0,29.56,0.552,16.315,492,708.5494731,483.1456816,0.68,88.6,19.9,20.1,29.5,9.45,2.7,91,7.8,16.05,3.61,14.56,4.71,20.93,0.04,115,26,104,34,NONE,,17.0,52,35.1,741,764,4745,197.7,3.29,1,63.3,0,4745,0,0,100.0,0.0,0.68,"W001° 15' 5.5674""","N51° 45' 55.6404""",64,52,0.2,0,0.26,1.77,2.03,0.13,0.15,1.213,2,0,0,,88,00:00:18,89.1,2.83,1435,993,0,59,0,8,False,32,2.12,36
20.0,26.09,0.436,11.374,432,363.6905626,236.7402237,0.65,75.7,11.1,26.3,40.3,4.85,1.4,90,4.0,17.36,2.55,15.23,4.1,20.93,0.04,124,18,109,29,NONE,,17.0,52,35.1,741,764,2417,100.7,1.68,1,32.2,0,2417,0,0,100.0,0.0,0.65,"W001° 15' 5.5674""","N51° 45' 55.638""",64,52,0.3,0,0.31,1.99,2.3,0.13,0.27,1.056,2,0,0,,88,00:00:20,92.4,0.97,1435,993,0,59,0,9,False,31,1.41,32
25.0,17.7,0.806,14.265,873,539.5065173,364.2702609,0.68,134.5,25.1,24.1,35.8,7.19,2.1,90,6.0,16.69,3.11,13.95,5.17,20.93,0.04,120,22,100,37,NONE,,17.0,52,35.1,741,764,3607,150.3,2.5,1,48.1,0,3607,0,0,100.0,0.0,0.68,"W001° 15' 5.5608""","N51° 45' 55.6326""",64,52,0.1,0,0.44,2.95,3.39,0.13,0.34,1.154,5,0,0,,88,00:00:25,90.5,4.32,1435,993,0,59,0,9,False,31,1.83,39
31.0,8.92,1.315,11.724,1588,551.628798,404.90261,0.73,204.9,55.2,20.1,27.4,7.36,2.1,93,5.9,15.58,4.2,13.99,5.55,20.93,0.04,112,30,100,40,NONE,,17.0,53,35.1,741,764,3739,155.8,2.6,1,49.9,0,3395,345,0,90.8,9.2,0.73,"W001° 15' 5.5578""","N51° 45' 55.6296""",65,52,0.2,0,2.73,4.0,6.73,0.41,0.22,1.069,6,0,0,,88,00:00:31,92.2,2.21,1435,993,0,59,0,9,False,31,0.48,41
33.0,28.85,0.328,9.462,443,263.9440052,176.561173,0.67,58.4,7.5,28.2,42.2,3.52,1.0,84,3.1,17.8,2.29,16.17,3.51,20.93,0.04,128,16,116,25,NONE,,16.9,53,35.1,741,764,1762,73.4,1.22,1,23.5,0,1762,0,0,100.0,0.0,0.67,"W001° 15' 5.5548""","N51° 45' 55.6236""",64,52,0.2,0,0.8,1.28,2.08,0.38,0.2,0.976,2,0,0,,88,00:00:33,93.7,1.06,1435,993,0,59,0,9,False,32,0.41,28
