t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,13.67,1.081,14.774,882,494.9094427,497.9947694,1.01,182.7,44.2,27.9,27.7,9.9,2.8,93,5.3,16.9,4.09,15.28,5.78,20.93,0.04,121,29,110,42,NONE,,19.2,51,38.2,742,765,3568,148.7,2.48,0,71.4,0,0,3568,0,0.0,100.0,1.01,"W001° 15' 5.5566""","N51° 45' 55.635""",65,59,0.1,0,1.16,3.23,4.39,0.26,0.25,1.17,0,0,0,,37,00:00:00,88.4,5.94,1321,998,0,76,0,10,False,31,0.93,43
4.0,15.27,0.921,14.061,831,429.6798525,421.0966736,0.98,159.1,33.5,30.2,30.9,8.59,2.5,96,4.5,17.27,3.64,15.34,5.69,20.93,0.04,124,26,110,41,NONE,,19.1,52,38.3,742,765,3080,128.3,2.14,0,61.6,0,210,2870,0,6.8,93.2,0.98,"W001° 15' 5.5398""","N51° 45' 55.6302""",64,59,0.1,0,1.19,2.74,3.93,0.3,0.31,1.148,4,0,0,,37,00:00:04,89.0,5.16,1321,998,0,76,0,11,False,32,0.77,42
6.0,29.7,0.424,12.594,319,411.9257513,386.4940253,0.94,72.3,15.8,25.5,27.2,8.24,2.4,97,4.2,17.05,3.73,15.61,5.24,20.93,0.04,122,27,112,38,NONE,,19.0,52,38.3,742,765,2926,121.9,2.03,0,58.5,0,616,2309,0,21.1,78.9,0.94,"W001° 15' 5.5302""","N51° 45' 55.6182""",65,59,0.1,0,0.4,1.62,2.02,0.2,0.16,1.1,2,0,0,,37,00:00:06,90.1,4.94,1321,998,0,76,0,10,False,30,1.06,39
12.0,11.21,1.123,12.594,973,426.2456785,416.8761513,0.98,189.6,45.1,27.7,28.3,8.52,2.4,99,4.3,16.88,4.02,15.04,5.89,20.93,0.04,121,29,108,42,NONE,,18.8,52,38.3,742,765,3054,127.3,2.12,0,61.1,0,229,2825,0,7.5,92.5,0.98,"W001° 15' 5.5158""","N51° 45' 55.6164""",64,59,0.2,0,1.25,4.1,5.35,0.23,0.28,1.1,6,0,0,,37,00:00:12,90.1,2.56,1321,998,0,77,0,11,False,31,0.9,44
15.0,18.18,1.165,21.182,1243,738.1558096,728.5698929,0.99,195.2,48.6,27.0,27.3,14.76,4.2,99,7.5,16.76,4.17,15.48,5.57,20.93,0.04,120,30,111,40,NONE,,18.7,53,38.3,742,765,5300,220.8,3.68,0,106.0,0,235,5065,0,4.4,95.6,0.99,"W001° 15' 5.5002""","N51° 45' 55.6194""",64,59,0.2,0,0.88,2.42,3.3,0.27,0.22,1.326,3,0,0,,37,00:00:15,83.4,4.43,1321,998,0,77,0,11,False,30,1.32,41
17.0,34.09,0.111,3.784,824,14.9319088,15.7686415,1.06,22.7,0.6,93.6,88.6,0.3,0.1,101,0.1,20.45,0.54,20.05,0.92,20.93,0.04,147,4,144,7,NONE,,18.7,51,38.3,742,765,109,4.5,0.08,1,2.2,0,0,109,0,0.0,100.0,1.06,"W001° 15' 5.4948""","N51° 45' 55.623""",64,59,0.1,0,1.03,0.73,1.76,0.59,0.03,0.578,2,0,0,,37,00:00:17,97.0,0.18,1321,998,0,77,0,11,False,29,0.11,11
20.0,21.05,0.992,20.884,365,688.3045266,701.1138395,1.02,168.2,40.4,28.2,27.7,13.77,3.9,100,6.9,16.96,4.07,15.64,5.49,20.93,0.04,122,29,112,39,NONE,,18.6,52,38.3,742,765,4976,207.3,3.46,1,99.5,0,0,4976,0,0.0,100.0,1.02,"W001° 15' 5.5086""","N51° 45' 55.6296""",64,59,0.4,0,0.57,2.28,2.85,0.2,0.22,1.32,3,0,0,,37,00:00:20,83.6,2.06,1321,998,0,78,0,11,False,31,1.74,41
21.0,60.61,0.35,21.212,399,483.3625896,477.297574,0.99,63.7,9.6,35.1,35.6,9.67,2.8,99,4.9,18.2,2.74,17.23,3.79,20.93,0.04,131,20,124,27,NONE,,18.6,52,38.3,742,765,3471,144.6,2.41,1,69.4,0,149,3322,0,4.3,95.7,0.99,"W001° 15' 5.5062""","N51° 45' 55.6338""",65,59,0.6,0,0.38,0.61,0.99,0.38,0.14,1.327,1,0,0,,37,00:00:21,83.4,0.97,1312,998,0,78,0,10,False,29,0.92,30
25.0,14.96,1.473,22.04,1063,820.9292303,838.4545064,1.02,242.1,67.9,25.6,25.0,16.42,4.7,100,8.2,16.44,4.61,15.16,5.94,20.93,0.04,118,33,109,43,NONE,,18.5,52,38.3,742,765,5938,247.4,4.12,1,118.8,0,0,5938,0,0.0,100.0,1.02,"W001° 15' 5.5536""","N51° 45' 55.6572""",65,59,0.5,0,0.91,3.1,4.01,0.23,0.2,1.343,4,0,0,0.05,37,00:00:25,82.7,1.97,1315,998,0,78,156,11,False,30,1.62,44
