t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,11.87,0.142,1.685,2395,0.0,0.0,0.27,29.9,0.0,0.0,0.0,0.0,0.0,105,0,21.06,0.0,20.91,0.03,20.93,0.04,151,0,150,0,NONE,,22.0,49,39.8,741,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.27,"W001° 15' 7.0908""","N51° 45' 55.0302""",59,78,0.1,0,1.47,3.59,5.06,0.29,0.51,0.227,0,0,0,,23,00:00:00,0,0,1338,981,0,69,0,8,False,32,0.1,6
35.0,3.45,3.821,13.194,1412,0.0,0.0,0.06,810.1,0.8,0.0,0.0,0.0,0.0,107,0,21.2,0.02,20.9,0.03,20.93,0.04,152,0,150,0,NONE,,22.4,49,39.8,741,765,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.06,"W001° 15' 7.113""","N51° 45' 55.0416""",60,78,0.1,0,6.54,10.84,17.38,0.38,0.96,1.12,35,0,0,,23,00:00:35,0,0,1338,981,0,67,0,8,False,31,0.58,6
48.0,4.4,1.09,4.795,949,163.0508648,133.5202112,0.82,185.3,36.9,27.5,33.6,3.26,0.9,110,1.5,17.0,3.39,15.47,4.77,20.93,0.04,122,24,111,34,NONE,,22.5,48,39.8,741,765,1127,47.0,0.78,0,22.5,0,697,430,0,61.8,38.2,0.82,"W001° 15' 7.122""","N51° 45' 55.0158""",60,78,0.8,0,9.25,4.39,13.64,0.68,0.27,0.681,13,0,0,,23,00:00:48,0,0.24,1338,981,0,67,0,8,False,32,0.12,36
55.0,8.19,0.551,4.51,1219,121.7645818,117.0678375,0.96,97.6,17.4,32.3,33.6,2.44,0.7,110,1.1,17.71,3.16,14.56,5.17,20.93,0.04,127,23,105,37,NONE,,22.7,50,39.8,741,765,869,36.2,0.6,0,17.4,0,114,755,0,13.2,86.8,0.96,"W001° 15' 7.1136""","N51° 45' 55.017""",59,78,0.1,0,1.86,5.47,7.33,0.25,0.29,0.654,7,0,0,,23,00:00:55,0,1.46,1338,981,0,67,0,8,False,29,0.3,39
57.0,22.64,0.573,12.974,597,538.2732941,355.6237175,0.66,93.4,19.1,21.2,32.0,10.77,3.1,107,5,16.3,3.33,14.18,5.17,20.93,0.04,117,24,102,37,NONE,,22.8,49,39.8,741,765,3586,149.4,2.49,0,71.7,0,3586,0,0,100.0,0.0,0.66,"W001° 15' 7.116""","N51° 45' 55.014""",59,78,0.1,0,1.06,1.59,2.65,0.4,0.26,1.113,2,0,0,,23,00:00:57,0,6.46,1338,981,0,67,0,8,False,30,0.54,39
60.0,25.21,0.668,16.84,659,785.2278602,504.2734838,0.64,105.2,24.3,19.2,29.9,15.7,4.5,106,7.4,15.75,3.64,14.05,5.17,20.93,0.04,113,26,101,37,NONE,,22.9,48,39.8,741,765,5209,217.0,3.62,0,104.2,0,5209,0,0,100.0,0.0,0.64,"W001° 15' 7.1196""","N51° 45' 55.0086""",59,78,0.1,0,0.93,1.45,2.38,0.39,0.22,1.226,3,0,0,,23,00:01:00,0,9.42,1338,981,0,67,0,8,False,29,0.72,39
62.0,24.19,0.796,19.258,869,856.2584449,547.3445473,0.64,127.3,27.5,20.5,32.1,17.13,4.9,103,8.3,15.99,3.45,14.48,4.92,20.93,0.04,115,25,104,35,NONE,,22.9,48,39.8,741,765,5676,236.5,3.94,0,113.5,0,5676,0,0,100.0,0.0,0.64,"W001° 15' 7.1142""","N51° 45' 55.0182""",58,78,0.2,0,1.07,1.41,2.48,0.43,0.25,1.285,2,0,0,,23,00:01:02,0,5.14,1338,981,0,66,0,8,False,32,0.74,37
65.0,24.79,0.689,17.083,747,717.7151981,464.8136245,0.65,112.0,22.8,21.4,33.0,14.35,4.1,101,7.1,16.26,3.31,14.79,4.65,20.93,0.04,117,24,106,33,NONE,,23.0,48,39.8,741,765,4767,198.6,3.31,1,95.3,0,4767,0,0,100.0,0.0,0.65,"W001° 15' 7.1094""","N51° 45' 55.0188""",58,78,0.2,0,0.96,1.46,2.42,0.4,0.23,1.233,3,0,0,,23,00:01:05,0,4.31,1338,981,0,66,0,8,False,32,0.72,36
69.0,16.04,1.048,16.813,1074,719.4074757,488.4667039,0.68,169.1,37.0,21.8,32.1,14.39,4.1,102,7.1,16.14,3.53,14.81,4.82,20.93,0.04,116,25,106,35,NONE,,23.0,48,39.8,741,765,4814,200.6,3.34,1,96.3,0,4814,0,0,100.0,0.0,0.68,"W001° 15' 7.113""","N51° 45' 55.0176""",58,78,0.2,0,1.71,2.03,3.74,0.46,0.24,1.226,4,0,0,,23,00:01:09,0,4.32,1338,981,0,66,0,8,False,32,0.61,37
70.0,30.93,0.509,15.742,555,550.9994065,370.5980353,0.67,86.6,14.6,24.6,36.6,11.02,3.1,103,5.3,17.01,2.87,15.48,4.15,20.93,0.04,122,21,111,30,NONE,,23.0,48,39.8,741,765,3681,153.4,2.56,1,73.6,0,3681,0,0,100.0,0.0,0.67,"W001° 15' 7.1106""","N51° 45' 55.0194""",58,78,0.2,0,0.8,1.14,1.94,0.41,0.23,1.197,1,0,0,,23,00:01:10,0,3.31,1338,981,0,66,0,8,False,32,0.64,32
