t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,7.17,2.981,21.369,155,2937.7850761,49.1274092,0.02,233.8,9.6,7.1,424.8,35.61,10.2,90,32.6,7.84,0.32,20.9,0.08,20.93,0.04,56,2,150,1,NONE,,14.1,61,33.8,743,767,16576,690.7,11.51,0,200.9,0,16576,0,0,100.0,0.0,0.02,"W001° 15' 7.4604""","N51° 45' 55.4154""",63,73,0.1,0,4.06,4.31,8.37,0.49,0.59,1.33,0,0,0,,61,00:00:00,89.5,>.37,1200,999,0,75,0,9,False,27,0.73,6
15.0,3.79,0.755,2.858,135,0.0,0.3163429,0.0,162.2,0.4,0.0,8197.0,0.0,0.0,79,0.0,21.48,0.05,20.92,0.06,20.93,0.04,155,0,151,0,NONE,,14.0,61,33.8,743,767,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.0,"W001° 15' 7.476""","N51° 45' 55.4502""",62,72,0.1,0,2.63,13.22,15.85,0.17,0.84,0.456,15,0,0,,61,00:00:15,98.6,0,1321,999,0,75,0,9,False,26,0.29,6
177.0,4.16,7.48,31.093,409,0.0,2.8545793,0.0,1594.6,3.8,0.0,10790.5,0.0,0.0,86,0.0,21.32,0.05,20.9,0.05,20.93,0.04,153,0,150,0,NONE,,15.7,58,33.5,743,766,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.0,"W001° 15' 7.2264""","N51° 45' 55.5522""",60,73,0.2,0,4.9,9.53,14.43,0.34,0.93,1.493,162,0,0,,60,00:02:57,84.7,0,1321,998,0,71,0,10,False,28,1.53,6
192.0,3.91,0.071,0.278,1760,0.0,0.0,0.17,15.0,0.0,0.0,0.0,0.0,0.0,77,0.0,21.13,0.0,20.91,0.05,20.93,0.04,152,0,151,0,NONE,,15.7,57,33.5,743,767,0,0.0,0.0,0,0.0,0,0,0,0,100.0,0.0,0.17,"W001° 15' 7.2462""","N51° 45' 55.5702""",60,73,0.2,0,13.81,1.54,15.35,0.9,0.01,0.0,15,0,0,,60,00:03:12,99.9,0,1321,998,0,71,0,10,False,29,0.01,6
204.0,5.0,0.212,1.06,1194,2.3362617,2.5663989,1.1,43.8,0.7,303.9,276.7,0.03,0.0,90,0.0,20.66,0.33,20.05,0.86,20.93,0.04,149,2,144,6,NONE,,15.7,57,33.5,743,766,17,0.7,0.01,0,0.2,0,0,17,0,0.0,100.0,1.1,"W001° 15' 7.2846""","N51° 45' 55.5522""",60,73,0.4,0,11.08,0.92,12.0,0.92,0.46,0.025,12,0,0,,60,00:03:24,99.5,0,1321,998,0,71,0,10,False,27,0.02,11
207.0,19.48,1.324,25.792,1243,1015.1539326,825.0748395,0.81,217.1,51.3,24.1,29.6,12.3,3.5,89,11.4,16.4,3.87,14.76,5.19,20.93,0.04,118,28,106,37,NONE,,15.7,57,33.5,743,767,7008,292.0,4.87,0,84.9,0,4478,2530,0,63.9,36.1,0.81,"W001° 15' 7.2972""","N51° 45' 55.539""",60,74,0.2,0,0.9,2.18,3.08,0.29,0.23,1.411,3,0,0,,60,00:03:27,87.3,3.69,1321,998,0,71,0,10,False,27,1.47,39
210.0,24.1,0.853,20.554,1182,720.0121092,568.0432327,0.79,144.3,28.6,26.2,33.2,8.73,2.5,89,8.1,16.92,3.35,15.48,4.58,20.93,0.04,122,24,111,33,NONE,,15.7,57,33.5,743,767,4943,206.0,3.43,0,59.9,0,3561,1382,0,72.0,28.0,0.79,"W001° 15' 7.3044""","N51° 45' 55.5306""",61,73,0.2,0,1.22,1.27,2.49,0.49,0.23,1.313,3,0,0,,60,00:03:30,89.9,2.62,1321,998,0,71,0,10,False,27,0.7,35
211.0,37.97,0.945,35.886,914,1002.4817319,903.6023951,0.9,166.8,28.9,33.1,36.8,12.15,3.5,88,11.4,17.65,3.06,16.2,4.61,20.93,0.04,127,22,117,33,NONE,,15.7,57,33.5,743,767,7061,294.2,4.9,0,85.6,0,2377,4684,0,33.7,66.3,0.9,"W001° 15' 7.3056""","N51° 45' 55.518""",61,73,0.1,0,0.86,0.72,1.58,0.54,0.3,1.555,1,0,0,,60,00:03:31,82.4,7.29,1321,998,0,71,0,10,False,28,1.1,35
214.0,22.56,0.384,8.662,951,127.7727975,108.1324789,0.85,73.8,5.9,55.4,65.5,1.55,0.4,86,1.5,19.22,1.54,17.15,3.37,20.93,0.04,138,11,123,24,NONE,,15.7,57,33.5,743,767,889,37.0,0.62,1,10.8,0,466,423,0,52.5,47.5,0.85,"W001° 15' 7.3068""","N51° 45' 55.5012""",62,73,0.1,0,0.52,2.14,2.66,0.2,0.41,0.938,3,0,0,,60,00:03:34,95.7,0.93,1321,998,0,71,0,10,False,29,0.74,27
