t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,25.97,0.257,6.675,829,60.4190469,49.6689207,0.82,51.1,2.4,80.4,97.8,0.76,0.2,0,0,19.88,0.93,19.03,1.75,20.93,0.04,143,7,137,13,NONE,,16.0,41,32.5,741,765,418,17.4,0.29,0,5.2,0,254,164,0,60.7,39.3,0.82,"W001° 15' 6.2352""","N51° 45' 55.7298""",66,69,0.1,0,1.34,0.97,2.31,0.58,0.33,0.824,0,0,0,,33,00:00:00,96.3,0.45,1334,1012,0,56,0,10,False,32,0.19,17
3.0,13.76,1.299,17.876,1185,528.6687202,464.8806729,0.88,226.9,41.1,32.0,36.4,6.61,1.9,0,0,17.47,3.16,16.08,4.47,20.93,0.04,125,23,115,32,NONE,,16.0,41,32.5,741,765,3705,154.4,2.57,0,46.3,0,1526,2179,0,41.2,58.8,0.88,"W001° 15' 6.237""","N51° 45' 55.7232""",66,69,0.2,0,2.01,2.35,4.36,0.46,0.29,1.252,3,0,0,,32,00:00:03,90.2,1.98,1334,1012,0,56,0,9,False,26,0.65,34
6.0,28.99,0.316,9.159,534,143.3698348,120.0057848,0.84,60.4,5.1,49.7,59.4,1.79,0.5,0,0,19.11,1.61,17.84,2.68,20.93,0.04,137,12,128,19,NONE,,16.0,41,32.5,742,765,995,41.5,0.69,0,12.4,0,554,442,0,55.6,44.4,0.84,"W001° 15' 6.2358""","N51° 45' 55.7118""",66,69,0.1,0,0.85,1.22,2.07,0.41,0.27,0.962,3,0,0,,32,00:00:06,95.0,1.08,1334,1012,0,55,0,9,False,32,0.37,23
8.0,20.13,0.599,12.06,820,295.5025859,250.7445062,0.85,108.3,15.2,36.0,42.5,3.69,1.1,0,0,18.08,2.54,16.28,4.15,20.93,0.04,130,18,117,30,NONE,,16.0,42,32.5,742,765,2057,85.7,1.43,0,25.7,0,1063,994,0,51.7,48.3,0.85,"W001° 15' 6.2334""","N51° 45' 55.7124""",66,69,0.1,0,1.27,1.71,2.98,0.43,0.32,1.081,2,0,0,,32,00:00:08,93.4,2.22,1334,1012,0,56,0,8,False,31,0.47,32
12.0,16.04,1.14,18.289,673,639.1909787,533.4343819,0.83,192.4,40.4,26.9,32.2,7.99,2.3,0,0,16.88,3.54,15.2,4.81,20.93,0.04,121,25,109,35,NONE,,16.0,42,32.5,742,765,4435,184.8,3.08,0,55.4,0,2504,1930,0,56.5,43.5,0.83,"W001° 15' 6.2376""","N51° 45' 55.7202""",66,69,0.3,0,0.57,3.17,3.74,0.15,0.24,1.262,4,0,0,,32,00:00:12,89.9,1.6,1334,1012,0,56,0,8,False,26,2.0,37
14.0,37.5,0.301,11.288,303,310.774499,242.8422146,0.78,53.5,7.9,27.9,35.7,3.88,1.1,0,0,17.77,2.62,16.22,3.9,20.93,0.04,128,19,116,28,NONE,,16.0,42,32.5,741,765,2130,88.7,1.48,0,26.6,0,1589,541,0,74.6,25.4,0.78,"W001° 15' 6.2382""","N51° 45' 55.725""",67,69,0.2,0,0.58,1.02,1.6,0.36,0.15,1.053,2,0,0,,32,00:00:14,93.8,1.17,1334,1012,0,56,0,7,False,26,0.52,31
32.0,3.23,0.806,2.607,3672,49.6829936,43.828716,0.88,150.7,16.6,47.9,54.3,0.62,0.2,0,0,18.7,2.06,16.36,4.12,20.93,0.04,134,15,117,30,NONE,,17.0,41,32.5,742,765,348,14.5,0.24,1,4.4,0,140,208,0,40.2,59.8,0.88,"W001° 15' 6.2736""","N51° 45' 55.716""",68,69,0.2,0,3.98,14.57,18.55,0.21,0.45,0.416,18,0,0,,32,00:00:32,98.6,0.19,1334,1012,0,53,0,8,False,31,0.2,32
40.0,8.08,1.988,16.054,691,664.2316817,538.4738907,0.81,321.2,80.9,23.3,28.8,8.3,2.4,0,0,16.16,4.07,14.8,5.21,20.93,0.04,116,29,106,37,NONE,,17.1,40,32.4,742,765,4583,191.0,3.18,1,57.3,0,2962,1622,0,64.6,35.4,0.81,"W001° 15' 6.2754""","N51° 45' 55.7532""",66,69,0.7,0,0.56,6.87,7.43,0.08,0.22,1.206,8,0,0,,32,00:00:40,91.2,0.71,1334,1012,0,53,0,9,False,28,3.55,39
42.0,25.0,0.978,24.45,249,1058.7202613,832.592699,0.79,156.1,40.4,21.4,27.3,13.23,3.8,0,0,15.96,4.13,14.5,5.22,20.93,0.04,115,30,104,37,NONE,,17.1,40,32.5,742,765,7265,302.7,5.04,1,90.8,0,5296,1969,0,72.9,27.1,0.79,"W001° 15' 6.2694""","N51° 45' 55.7688""",66,69,0.8,0,0.26,2.14,2.4,0.11,0.17,1.388,2,0,0,,32,00:00:42,86.6,0.99,1334,1012,0,53,0,8,False,28,3.76,39
