t,Rf,VT,VE,IV,VO2,VCO2,RQ,O2exp,CO2exp,VE/VO2,VE/VCO2,VO2/Kg,METS,HR,VO2/HR,FeO2,FeCO2,FetO2,FetCO2,FiO2,FiCO2,PeO2,PeCO2,PetO2,PetCO2,Phase,Marker,Amb. Temp.,RH Amb,Device Temp.,Analyz. Press.,PB,EEkc,EEh,EEm,EEtot,EEkg,PRO,FAT,CHO,PRO%,FAT%,CHO%,npRQ,Long,Lat,GPS Altitude,Barom_Altitude,GPS Speed,GPS Dist.,Ti,Te,Ttot,Ti/Ttot,VD/VT e,LogVE,t Rel,mark Speed,mark Dist.,Step Length,Battery,Phase time,BR,O2 Cost,O2 Delay,CO2 Delay,GPS Heading,RH Sample,Cadence,Satellites,Fixing,Satellites SNR,VT/Ti,PaCO2_e
s,1/min,L(btps),L/min,mL,mL/min,mL/min,---,mL,mL,---,---,mL/min/Kg,---,bpm,mL/beat,%,%,%,%,%,%,mmHg,mmHg,mmHg,mmHg,---,---,°C,%,°C,mmHg,mmHg,kcal/day,kcal/h,kcal/min,kcal,kcal/Kg/day,kcal/day,kcal/day,kcal/day,%,%,%,---,"° ' ""","° ' """,m,m,km/h,m,s,s,s,---,---,L/min,s,m/s,m,m,%,hh:mm:ss,%,mL/Kg/m,ms,ms,DEG,%,1/min,---,---,dB,---,mmHg
0.0,22.14,0.531,11.756,744,412.0480326,287.2565853,0.7,90.2,15.8,24.8,35.5,2.06,0.6,98,4.2,16.99,2.98,15.32,4.57,20.93,0.04,122,21,110,33,NONE,,20.5,48,45.3,741,765,2769,115.4,1.92,0,13.8,0,2769,0,0,100.0,0.0,0.7,"W001° 15' 5.9046""","N51° 45' 55.7616""",59,58,0.4,0,1.13,1.58,2.71,0.42,0.26,1.07,0,0,0,,48,00:00:00,88.6,0.31,1321,956,0,86,0,12,False,29,0.47,35
2.0,24.49,0.532,13.029,352,612.2303809,409.4518029,0.67,83.4,20.3,18.5,27.6,3.06,0.9,97,6.3,15.68,3.82,14.96,4.68,20.93,0.04,113,27,107,34,NONE,,20.6,48,45.3,742,765,4087,170.3,2.84,0,20.4,0,4087,0,0,100.0,0.0,0.67,"W001° 15' 5.913""","N51° 45' 55.7616""",59,58,0.3,0,1.25,1.2,2.45,0.51,0.1,1.115,2,0,0,,48,00:00:02,87.4,0.61,1321,956,0,86,0,11,False,29,0.43,36
5.0,23.53,0.532,12.518,465,563.6779295,373.808617,0.66,84.6,19.3,19.3,29.1,2.82,0.8,89,6.3,15.9,3.63,14.93,4.71,20.93,0.04,114,26,107,34,NONE,,20.6,48,45.3,741,765,3758,156.6,2.61,0,18.8,0,3758,0,0,100.0,0.0,0.66,"W001° 15' 5.9076""","N51° 45' 55.7634""",60,58,0.2,0,1.24,1.31,2.55,0.49,0.14,1.098,3,0,0,,48,00:00:05,87.9,0.85,1321,956,0,86,0,11,False,31,0.43,36
6.0,35.71,0.39,13.929,199,771.898045,482.8533107,0.63,57.7,16.4,14.8,23.7,3.86,1.1,87,8.9,14.79,4.21,13.88,5.18,20.93,0.04,106,30,100,37,NONE,,20.6,48,45.3,741,765,5100,212.5,3.54,0,25.5,0,5100,0,0,100.0,0.0,0.63,"W001° 15' 5.907""","N51° 45' 55.782""",60,58,0.3,0,0.61,1.07,1.68,0.36,0.05,1.144,1,0,0,,48,00:00:06,86.5,0.77,1321,956,0,86,0,11,False,30,0.64,39
8.0,29.13,0.646,18.816,781,853.6627547,529.4761118,0.62,102.8,22.1,19.7,31.7,4.27,1.2,87,9.8,15.91,3.42,15.04,4.53,20.93,0.04,114,25,108,33,NONE,,20.6,49,45.3,741,765,5633,234.7,3.91,0,28.2,0,5633,0,0,100.0,0.0,0.62,"W001° 15' 5.877""","N51° 45' 55.8""",60,58,1.3,0,1.04,1.02,2.06,0.5,0.19,1.275,2,0,0,,48,00:00:08,81.8,0.2,1321,956,339,86,0,11,False,29,0.62,35
10.0,38.46,0.186,7.154,586,251.2219204,141.6604831,0.56,31.8,4.5,17.8,31.5,1.26,0.4,90,2.8,17.1,2.42,16.11,3.43,20.93,0.04,123,17,116,25,NONE,,20.6,49,45.3,742,765,1635,68.1,1.14,0,8.2,0,1635,0,0,100.0,0.0,0.56,"W001° 15' 5.8842""","N51° 45' 55.7988""",59,58,1.5,0,0.83,0.73,1.56,0.53,0.0,0.855,2,0,0,,48,00:00:10,93.1,0.05,1321,956,0,86,0,12,False,32,0.22,28
12.0,31.58,1.001,31.611,566,1453.6262668,990.9175586,0.68,157.9,38.1,20.2,29.7,7.27,2.1,92,15.8,15.77,3.81,14.93,4.89,20.93,0.04,113,27,107,35,NONE,,20.6,49,45.3,741,765,9733,405.5,6.76,1,48.7,0,9733,0,0,100.0,0.0,0.68,"W001° 15' 5.8824""","N51° 45' 55.803""",60,59,1.6,0,0.88,1.02,1.9,0.46,0.19,1.5,2,0,0,,48,00:00:12,69.5,0.27,1315,956,9,86,0,11,False,31,1.14,37
14.0,32.79,0.585,19.18,535,856.0912675,553.040911,0.65,93.4,20.5,19.7,30.5,4.28,1.2,96,8.9,15.97,3.5,15.0,4.74,20.93,0.04,115,25,108,34,NONE,,20.5,49,45.3,742,765,5684,236.8,3.95,1,28.4,0,5684,0,0,100.0,0.0,0.65,"W001° 15' 5.8644""","N51° 45' 55.7934""",60,58,1.4,0,0.85,0.98,1.83,0.46,0.18,1.283,2,0,0,,48,00:00:14,81.5,0.18,1318,956,0,86,0,12,False,28,0.69,36
16.0,23.53,0.677,15.929,687,706.7969676,464.7163207,0.66,108.2,24.0,20.2,30.7,3.53,1.0,93,7.6,15.98,3.55,14.68,4.89,20.93,0.04,115,25,105,35,NONE,,20.5,48,45.3,741,765,4705,196.1,3.27,1,23.5,0,4705,0,0,100.0,0.0,0.66,"W001° 15' 5.8092""","N51° 45' 55.7874""",60,58,1.6,0,1.19,1.36,2.55,0.47,0.21,1.202,2,0,0,,48,00:00:16,84.6,0.13,1321,956,0,86,0,11,False,32,0.57,37
19.0,34.88,0.552,19.256,688,697.4551826,463.9537157,0.67,93.2,16.2,24.1,36.2,3.49,1.0,92,7.6,16.88,2.93,15.57,4.17,20.93,0.04,121,21,112,30,NONE,,20.5,48,45.2,742,765,4652,193.8,3.23,1,23.3,0,4652,0,0,100.0,0.0,0.67,"W001° 15' 5.8116""","N51° 45' 55.7844""",60,59,0.5,0,0.71,1.01,1.72,0.41,0.22,1.285,3,0,0,,48,00:00:19,81.4,0.42,1320,956,0,86,0,10,False,32,0.78,32
21.0,22.64,0.245,5.547,299,154.2116617,99.9159798,0.65,43.7,5.4,25.7,39.7,0.77,0.2,96,1.6,17.84,2.2,15.95,3.73,20.93,0.04,128,16,115,27,NONE,,20.5,48,45.3,742,765,1024,42.7,0.71,1,5.1,0,1024,0,0,100.0,0.0,0.65,"W001° 15' 5.8224""","N51° 45' 55.7934""",59,58,0.3,0,1.32,1.33,2.65,0.5,0.18,0.744,2,0,0,,48,00:00:21,94.6,0.15,1320,956,0,86,0,10,False,30,0.19,30
23.0,21.66,0.881,19.083,1049,708.1066917,494.8633019,0.7,147.6,27.8,24.8,35.5,3.54,1.0,102,6.9,16.75,3.16,15.13,4.72,20.93,0.04,120,23,109,34,NONE,,20.4,49,45.2,742,765,4761,198.4,3.31,1,23.8,0,4761,0,0,100.0,0.0,0.7,"W001° 15' 5.7696""","N51° 45' 55.8378""",58,59,1.9,0,1.03,1.74,2.77,0.37,0.29,1.281,2,0,0,,48,00:00:23,81.6,0.11,1321,956,29,86,0,10,False,32,0.86,36
25.0,36.81,0.597,21.975,637,972.8859542,651.403272,0.67,95.4,21.5,19.9,29.8,4.86,1.4,106,9.2,15.98,3.6,15.15,4.56,20.93,0.04,115,26,109,33,NONE,,20.4,49,45.2,742,765,6496,270.6,4.51,1,32.5,0,6496,0,0,100.0,0.0,0.67,"W001° 15' 5.7648""","N51° 45' 55.8438""",58,59,2.0,0,0.75,0.88,1.63,0.46,0.14,1.342,2,0,0,,48,00:00:25,78.8,0.15,1318,956,0,86,0,10,False,31,0.8,35
27.0,33.15,0.802,26.586,569,1237.2676769,871.3348644,0.7,125.8,31.9,19.6,27.8,6.19,1.8,106,11.7,15.69,3.98,14.97,4.92,20.93,0.04,113,29,107,35,NONE,,20.3,49,45.2,742,765,8329,347.0,5.78,1,41.6,0,8329,0,0,100.0,0.0,0.7,"W001° 15' 5.7444""","N51° 45' 55.833""",59,58,1.4,0,0.83,0.98,1.81,0.46,0.15,1.425,2,0,0,,48,00:00:27,74.3,0.27,1319,956,60,86,0,10,False,32,0.97,37
28.0,33.33,0.605,20.167,479,856.7867803,545.3849393,0.64,98.1,19.9,20.8,32.7,4.28,1.2,100,8.6,16.21,3.29,15.02,4.69,20.93,0.04,116,24,108,34,NONE,,20.3,49,45.2,742,765,5676,236.5,3.94,2,28.4,0,5676,0,0,100.0,0.0,0.64,"W001° 15' 5.757""","N51° 45' 55.8198""",59,58,1.0,0,0.91,0.89,1.8,0.51,0.22,1.305,1,0,0,,48,00:00:28,80.5,0.26,1309,956,0,86,0,10,False,32,0.66,36
